electricity_pricing,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3,outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,carbon_intensity,month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
0.54,0.22,0.22,0.54,21.1,76.0,392.0,396.0,0.24614695,8,17,1,0,,,,0.9674501,0.0,0.0,0.0,384.975
0.54,0.22,0.22,0.54,20.6,78.0,231.0,320.0,0.24275939,8,18,1,0,,,,0.16195008,0.0,0.0,0.0,210.17084
0.54,0.22,0.22,0.54,20.6,73.0,27.0,143.0,0.24150947,8,19,1,0,,,,0.0059500607,0.0,0.0,0.0,18.841667
0.54,0.22,0.22,0.54,20.0,76.0,0.0,0.0,0.24358909,8,20,1,0,,,,0.35833338,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.6,70.0,0.0,0.0,0.2407392,8,21,1,0,,,,1.5845,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.6,73.0,0.0,0.0,0.22927038,8,22,1,0,,,,2.5612333,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,81.0,0.0,0.0,0.21529473,8,23,1,0,,,,1.4342,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.0,81.0,0.0,0.0,0.19157887,8,24,1,0,,,,4.132075,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,87.0,0.0,0.0,0.17271361,8,1,2,0,,,,2.9009166,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,87.0,0.0,0.0,0.1668173,8,2,2,0,,,,2.2597833,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,90.0,0.0,0.0,0.16352855,8,3,2,0,,,,1.4480667,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,18.9,90.0,0.0,0.0,0.16253123,8,4,2,0,,,,1.1343666,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,18.3,93.0,0.0,0.0,0.16735874,8,5,2,0,,,,0.35226667,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,18.9,90.0,15.0,14.0,0.1707615,8,6,2,0,,,,0.34945,0.0,0.0,0.0,5.7625
0.22,0.22,0.54,0.22,20.0,87.0,116.0,42.0,0.18388951,8,7,2,0,,,,1.7421,0.0,0.0,0.0,29.445833
0.22,0.22,0.54,0.22,20.0,87.0,252.0,74.0,0.19780493,8,8,2,0,,,,0.60545,0.0,0.0,0.0,94.69583
0.22,0.22,0.22,0.22,20.0,84.0,292.0,35.0,0.21082877,8,9,2,0,,,,2.4703333,0.0,0.0,0.0,221.7
0.22,0.54,0.22,0.22,21.7,76.0,436.0,95.0,0.22337624,8,10,2,0,,,,1.9930333,0.0,0.0,0.0,358.94583
0.22,0.54,0.22,0.22,21.7,73.0,604.0,209.0,0.23930867,8,11,2,0,,,,3.3299167,0.0,0.0,0.0,480.34583
0.22,0.54,0.22,0.22,22.2,71.0,589.0,144.0,0.24476917,8,12,2,0,,,,1.87625,0.0,0.0,0.0,569.8333
0.22,0.54,0.22,0.22,21.0,78.0,554.0,133.0,0.24356763,8,13,2,0,,,,1.30285,0.0,0.0,0.0,613.0333
0.22,0.54,0.22,0.22,21.0,78.0,907.0,685.0,0.24330084,8,14,2,0,,,,1.2250501,0.0,0.0,0.0,619.8375
0.22,0.22,0.22,0.22,22.8,68.0,789.0,777.0,0.24916068,8,15,2,0,,,,3.2147334,0.0,0.0,0.0,584.30835
0.54,0.22,0.22,0.54,22.8,67.0,631.0,703.0,0.25086278,8,16,2,0,,,,2.4969168,0.0,0.0,0.0,508.32916
0.54,0.22,0.22,0.54,22.2,68.0,443.0,585.0,0.2472611,8,17,2,0,,,,0.869,0.0,0.0,0.0,386.25833
0.54,0.22,0.22,0.54,23.3,79.0,245.0,337.0,0.23651384,8,18,2,0,,,,0.30870003,0.0,0.0,0.0,215.46666
0.54,0.22,0.22,0.54,22.8,68.0,27.0,147.0,0.2257806,8,19,2,0,,,,1.3966833,0.0,0.0,0.0,20.479166
0.54,0.22,0.22,0.54,22.8,61.0,0.0,0.0,0.22176008,8,20,2,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.0,84.0,0.0,0.0,0.21804756,8,21,2,0,,,,9.7529096e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.6,78.0,0.0,0.0,0.20633468,8,22,2,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.6,78.0,0.0,0.0,0.19263186,8,23,2,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,79.0,0.0,0.0,0.17944553,8,24,2,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.0,78.0,0.0,0.0,0.16495918,8,1,3,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,84.0,0.0,0.0,0.15730144,8,2,3,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,84.0,0.0,0.0,0.15902838,8,3,3,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,19.4,84.0,0.0,0.0,0.15689933,8,4,3,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,18.9,87.0,0.0,0.0,0.15738352,8,5,3,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,19.4,84.0,27.0,144.0,0.16790247,8,6,3,0,,,,9.969076e-08,0.0,0.0,0.0,6.5125
0.22,0.22,0.54,0.22,21.1,76.0,192.0,395.0,0.17872274,8,7,3,0,,,,0.015183425,0.0,0.0,0.0,33.029167
0.22,0.22,0.54,0.22,22.8,66.0,404.0,609.0,0.20311522,8,8,3,0,,,,0.31670004,0.0,0.0,0.0,95.0125
0.22,0.22,0.22,0.22,24.4,64.0,611.0,730.0,0.21381462,8,9,3,0,,,,1.3032666,0.0,0.0,0.0,211.79584
0.22,0.54,0.22,0.22,23.9,66.0,778.0,793.0,0.21551497,8,10,3,0,,,,2.5682666,0.0,0.0,0.0,340.425
0.22,0.54,0.22,0.22,25.0,62.0,897.0,811.0,0.2312306,8,11,3,0,,,,1.1945833,0.0,0.0,0.0,497.02084
0.22,0.54,0.22,0.22,25.0,58.0,958.0,815.0,0.24023743,8,12,3,0,,,,1.3531,0.0,0.0,0.0,582.4625
0.22,0.54,0.22,0.22,25.0,58.0,960.0,819.0,0.24554762,8,13,3,0,,,,3.0735,0.0,0.0,0.0,629.625
0.22,0.54,0.22,0.22,24.4,58.0,901.0,812.0,0.24369626,8,14,3,0,,,,2.9029,0.0,0.0,0.0,638.3333
0.22,0.22,0.22,0.22,25.0,56.0,790.0,771.0,0.24565277,8,15,3,0,,,,3.8458834,0.0,0.0,0.0,603.0125
0.54,0.22,0.22,0.54,23.9,64.0,632.0,604.0,0.24907608,8,16,3,0,,,,3.2118,0.0,0.0,0.0,520.8875
0.54,0.22,0.22,0.54,23.3,64.0,362.0,293.0,0.24751402,8,17,3,0,,,,1.9543167,0.0,0.0,0.0,394.57083
0.54,0.22,0.22,0.54,22.8,64.0,124.0,31.0,0.24996853,8,18,3,0,,,,0.23120005,0.0,0.0,0.0,216.3875
0.54,0.22,0.22,0.54,22.2,68.0,13.0,13.0,0.251276,8,19,3,0,,,,9.880066e-08,0.0,0.0,0.0,18.829166
0.54,0.22,0.22,0.54,21.1,78.0,0.0,0.0,0.24560243,8,20,3,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.6,78.0,0.0,0.0,0.23783484,8,21,3,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.6,73.0,0.0,0.0,0.21481025,8,22,3,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.0,76.0,0.0,0.0,0.1966851,8,23,3,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.9,84.0,0.0,0.0,0.175584,8,24,3,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,81.0,0.0,0.0,0.17025222,8,1,4,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.0,81.0,0.0,0.0,0.15808403,8,2,4,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,84.0,0.0,0.0,0.15693438,8,3,4,0,,,,9.918213e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,18.9,87.0,0.0,0.0,0.1608465,8,4,4,0,,,,9.921392e-08,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,18.9,87.0,0.0,0.0,0.16770287,8,5,4,0,,,,0.16690005,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,18.9,87.0,13.0,7.0,0.16900943,8,6,4,0,,,,0.37108332,0.0,0.0,0.0,3.8166666
0.22,0.22,0.54,0.22,20.0,81.0,80.0,5.0,0.1827239,8,7,4,0,,,,0.41593334,0.0,0.0,0.0,33.879166
0.22,0.22,0.54,0.22,21.1,76.0,418.0,512.0,0.2001486,8,8,4,0,,,,0.48873332,0.0,0.0,0.0,93.92083
0.22,0.22,0.22,0.22,23.9,64.0,616.0,736.0,0.20599447,8,9,4,0,,,,1.0086334,0.0,0.0,0.0,221.9875
0.22,0.54,0.22,0.22,25.6,60.0,778.0,793.0,0.2118524,8,10,4,0,,,,1.2675667,0.0,0.0,0.0,364.21667
0.22,0.54,0.22,0.22,23.3,71.0,897.0,739.0,0.2260207,8,11,4,0,,,,0.44953334,0.0,0.0,0.0,482.71667
0.22,0.54,0.22,0.22,22.2,71.0,720.0,276.0,0.22795987,8,12,4,0,,,,1.8291667,0.0,0.0,0.0,570.9792
0.22,0.54,0.22,0.22,22.2,71.0,474.0,66.0,0.2254461,8,13,4,0,,,,2.4162333,0.0,0.0,0.0,622.7167
0.22,0.54,0.22,0.22,22.2,73.0,441.0,30.0,0.22483824,8,14,4,0,,,,2.9166167,0.0,0.0,0.0,635.5833
0.22,0.22,0.22,0.22,21.7,76.0,328.0,18.0,0.23203483,8,15,4,0,,,,2.75435,0.0,0.0,0.0,604.79584
0.54,0.22,0.22,0.54,20.6,81.0,446.0,206.0,0.2323185,8,16,4,0,,,,2.775,0.0,0.0,0.0,516.6875
0.54,0.22,0.22,0.54,20.0,81.0,437.0,482.0,0.234056,8,17,4,0,,,,2.59095,0.0,0.0,0.0,382.3375
0.54,0.22,0.22,0.54,20.0,78.0,239.0,325.0,0.23350044,8,18,4,0,,,,2.4160333,0.0,0.0,0.0,202.85417
0.54,0.22,0.22,0.54,19.4,81.0,23.0,135.0,0.22279812,8,19,4,0,,,,2.2407832,0.0,0.0,0.0,16.154167
0.54,0.22,0.22,0.54,19.4,79.0,0.0,0.0,0.2189764,8,20,4,0,,,,2.1395333,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,84.0,0.0,0.0,0.21173024,8,21,4,0,,,,2.7544668,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.9,84.0,0.0,0.0,0.19274442,8,22,4,0,,,,2.7236166,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.9,87.0,0.0,0.0,0.16745,8,23,4,0,,,,1.3486333,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.0,68.0,0.0,0.0,0.15570733,8,24,4,0,,,,1.3118583,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.9,84.0,0.0,0.0,0.15013929,8,1,5,0,,,,0.32428333,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.0,78.0,0.0,0.0,0.14473735,8,2,5,0,,,,1.0728166,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,81.0,0.0,0.0,0.1524545,8,3,5,0,,,,0.32325,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,19.4,81.0,0.0,0.0,0.15228155,8,4,5,0,,,,0.32686666,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,19.4,81.0,0.0,0.0,0.16260153,8,5,5,0,,,,0.32085,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,19.4,79.0,18.0,52.0,0.16399032,8,6,5,0,,,,0.3873,0.0,0.0,0.0,5.2708335
0.22,0.22,0.54,0.22,20.0,76.0,111.0,47.0,0.17502496,8,7,5,0,,,,1.0531334,0.0,0.0,0.0,33.433334
0.22,0.22,0.54,0.22,20.0,78.0,218.0,28.0,0.18512607,8,8,5,0,,,,1.6359167,0.0,0.0,0.0,101.02917
0.22,0.22,0.22,0.22,20.6,73.0,355.0,88.0,0.19491634,8,9,5,0,,,,1.6890666,0.0,0.0,0.0,223.27083
0.22,0.54,0.22,0.22,21.1,73.0,386.0,41.0,0.20418933,8,10,5,0,,,,1.9958333,0.0,0.0,0.0,364.19168
0.22,0.54,0.22,0.22,21.7,73.0,615.0,262.0,0.22145621,8,11,5,0,,,,1.8122667,0.0,0.0,0.0,488.875
0.22,0.54,0.22,0.22,21.7,70.0,958.0,749.0,0.21505424,8,12,5,0,,,,4.10505,0.0,0.0,0.0,580.6625
0.22,0.54,0.22,0.22,21.7,73.0,960.0,819.0,0.20845915,8,13,5,0,,,,4.2035165,0.0,0.0,0.0,632.3958
0.22,0.54,0.22,0.22,21.1,76.0,901.0,812.0,0.20262869,8,14,5,0,,,,3.1676,0.0,0.0,0.0,640.8958
0.22,0.22,0.22,0.22,20.6,75.0,784.0,771.0,0.19823301,8,15,5,0,,,,3.0072334,0.0,0.0,0.0,608.9
0.54,0.22,0.22,0.4,20.0,78.0,626.0,698.0,0.19353756,8,16,5,0,,,,1.38875,0.0,0.0,0.0,528.4167
0.54,0.22,0.22,0.4,20.0,78.0,438.0,580.0,0.19759627,8,17,5,0,,,,2.00315,0.0,0.0,0.0,404.23334
0.54,0.22,0.22,0.4,19.4,79.0,242.0,319.0,0.2107975,8,18,5,0,,,,2.8486533,0.0,0.0,0.0,232.53
0.54,0.22,0.22,0.4,19.4,79.0,22.0,129.0,0.21276861,8,19,5,0,,,,1.2497833,0.0,0.0,0.0,14.366667
0.54,0.22,0.22,0.4,19.4,76.0,0.0,0.0,0.21097414,8,20,5,0,,,,0.51661664,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,76.0,0.0,0.0,0.18958405,8,21,5,0,,,,0.5230833,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,76.0,0.0,0.0,0.15812041,8,22,5,0,,,,3.1345167,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.0,73.0,0.0,0.0,0.15155447,8,23,5,0,,,,4.1400332,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.9,78.0,0.0,0.0,0.13622218,8,24,5,0,,,,1.1586833,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.0,68.0,0.0,0.0,0.12023289,8,1,6,0,,,,1.0481334,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,73.0,0.0,0.0,0.11686636,8,2,6,0,,,,0.91405,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.0,65.0,0.0,0.0,0.12123874,8,3,6,0,,,,1.0607667,0.0,0.0,0.0,0.0
0.22,0.22,0.4,0.22,20.0,63.0,0.0,0.0,0.1168065,8,4,6,0,,,,0.6264333,0.0,0.0,0.0,0.0
0.22,0.22,0.4,0.22,20.0,63.0,0.0,0.0,0.11777603,8,5,6,0,,,,0.51935,0.0,0.0,0.0,0.0
0.22,0.22,0.4,0.22,20.0,63.0,9.0,0.0,0.122667514,8,6,6,0,,,,2.05595,0.0,0.0,0.0,4.8083334
0.22,0.22,0.4,0.22,20.0,63.0,144.0,168.0,0.11922021,8,7,6,0,,,,0.38273335,0.0,0.0,0.0,32.595833
0.22,0.22,0.4,0.22,21.1,59.0,152.0,11.0,0.12713692,8,8,6,0,,,,1.3047333,0.0,0.0,0.0,100.2
0.22,0.22,0.22,0.22,21.7,57.0,427.0,210.0,0.1422218,8,9,6,0,,,,1.65955,0.0,0.0,0.0,223.85417
0.22,0.4,0.22,0.22,21.1,68.0,618.0,343.0,0.15895283,8,10,6,0,,,,1.0151,0.0,0.0,0.0,366.67084
0.22,0.4,0.22,0.22,21.1,66.0,810.0,572.0,0.16855264,8,11,6,0,,,,2.8487666,0.0,0.0,0.0,492.4125
0.22,0.4,0.22,0.22,22.2,61.0,875.0,593.0,0.17453809,8,12,6,0,,,,1.9472166,0.0,0.0,0.0,581.0208
0.22,0.4,0.22,0.22,22.8,61.0,677.0,259.0,0.17656593,8,13,6,0,,,,1.3979833,0.0,0.0,0.0,633.2833
0.22,0.4,0.22,0.22,22.2,66.0,786.0,497.0,0.17817704,8,14,6,0,,,,2.6798167,0.0,0.0,0.0,645.05414
0.22,0.22,0.22,0.22,22.2,61.0,711.0,569.0,0.17906882,8,15,6,0,,,,1.2298334,0.0,0.0,0.0,617.8333
0.4,0.22,0.22,0.4,21.7,61.0,526.0,436.0,0.17723949,8,16,6,0,,,,2.7432666,0.0,0.0,0.0,536.0875
0.4,0.22,0.22,0.4,20.6,68.0,356.0,333.0,0.18189801,8,17,6,0,,,,3.3352334,0.0,0.0,0.0,406.35
0.4,0.22,0.22,0.4,20.0,70.0,193.0,195.0,0.18725535,8,18,6,0,,,,4.131417,0.0,0.0,0.0,234.225
0.4,0.22,0.22,0.4,19.4,73.0,17.0,77.0,0.18949196,8,19,6,0,,,,4.12065,0.0,0.0,0.0,15.416667
0.4,0.22,0.22,0.4,19.4,76.0,0.0,0.0,0.18843023,8,20,6,0,,,,4.267017,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.9,78.0,0.0,0.0,0.18712461,8,21,6,0,,,,2.9173667,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,79.0,0.0,0.0,0.17121895,8,22,6,0,,,,1.7213167,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.4,79.0,0.0,0.0,0.15409464,8,23,6,0,,,,1.0226667,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.3,84.0,0.0,0.0,0.14622422,8,24,6,0,,,,0.743075,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.3,84.0,0.0,0.0,0.14251432,8,1,7,0,,,,0.42406666,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,17.2,87.0,0.0,0.0,0.1409229,8,2,7,0,,,,0.58453333,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,17.2,84.0,0.0,0.0,0.13805278,8,3,7,0,,,,0.54045,0.0,0.0,0.0,0.0
0.22,0.22,0.4,0.22,17.2,84.0,0.0,0.0,0.14076443,8,4,7,0,,,,0.37853333,0.0,0.0,0.0,0.0
0.22,0.22,0.4,0.22,17.2,84.0,0.0,0.0,0.15049617,8,5,7,0,,,,0.41631666,0.0,0.0,0.0,0.0
0.22,0.22,0.4,0.22,17.8,80.0,21.0,126.0,0.16000995,8,6,7,0,,,,0.41616666,0.0,0.0,0.0,4.3416667
0.22,0.22,0.4,0.22,18.9,75.0,178.0,387.0,0.17179501,8,7,7,0,,,,0.42356667,0.0,0.0,0.0,29.4625
0.22,0.22,0.4,0.22,20.0,70.0,365.0,483.0,0.19232084,8,8,7,0,,,,0.43265,0.0,0.0,0.0,98.229164
0.22,0.22,0.22,0.22,20.6,68.0,573.0,602.0,0.19825311,8,9,7,0,,,,0.5618167,0.0,0.0,0.0,223.35417
0.22,0.4,0.22,0.22,20.6,68.0,739.0,657.0,0.20196563,8,10,7,0,,,,0.85648334,0.0,0.0,0.0,366.44168
0.22,0.4,0.22,0.22,21.7,63.0,862.0,709.0,0.20601249,8,11,7,0,,,,1.2786167,0.0,0.0,0.0,490.69168
0.22,0.4,0.22,0.22,22.2,61.0,934.0,749.0,0.2091158,8,12,7,0,,,,3.3530667,0.0,0.0,0.0,582.975
0.22,0.4,0.22,0.22,22.2,61.0,942.0,771.0,0.21177243,8,13,7,0,,,,3.4007084,0.0,0.0,0.0,632.89374
0.22,0.4,0.22,0.22,22.2,61.0,895.0,812.0,0.20919389,8,14,7,0,,,,1.552,0.0,0.0,0.0,648.81665
0.22,0.22,0.22,0.22,21.7,66.0,785.0,771.0,0.2019597,8,15,7,0,,,,1.57345,0.0,0.0,0.0,615.80414
0.4,0.22,0.22,0.54,21.1,68.0,620.0,680.0,0.19910625,8,16,7,0,,,,1.8438667,0.0,0.0,0.0,526.85
0.4,0.22,0.22,0.54,20.6,70.0,416.0,477.0,0.20060748,8,17,7,0,,,,1.6728667,0.0,0.0,0.0,395.3375
0.4,0.22,0.22,0.54,20.0,68.0,183.0,173.0,0.20029357,8,18,7,0,,,,1.5784833,0.0,0.0,0.0,226.45833
0.4,0.22,0.22,0.54,19.4,70.0,15.0,66.0,0.20097925,8,19,7,0,,,,1.2407833,0.0,0.0,0.0,11.683333
0.4,0.22,0.22,0.54,18.9,75.0,0.0,0.0,0.20128506,8,20,7,0,,,,1.2977834,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.3,81.0,0.0,0.0,0.19162135,8,21,7,0,,,,1.3730333,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.3,84.0,0.0,0.0,0.17962454,8,22,7,0,,,,1.3935167,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.3,87.0,0.0,0.0,0.16730984,8,23,7,0,,,,3.08955,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.3,78.0,0.0,0.0,0.14908981,8,24,7,0,,,,1.1376333,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,17.8,84.0,0.0,0.0,0.14422876,8,1,1,0,,,,0.22955,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,17.8,84.0,0.0,0.0,0.13992415,8,2,1,0,,,,0.23131667,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,17.2,84.0,0.0,0.0,0.14205489,8,3,1,0,,,,0.2826,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,17.2,84.0,0.0,0.0,0.14112355,8,4,1,0,,,,0.46075,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,17.2,81.0,0.0,0.0,0.14697811,8,5,1,0,,,,0.27375,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,17.8,80.0,18.0,108.0,0.1574251,8,6,1,0,,,,0.31601667,0.0,0.0,0.0,2.8375
0.22,0.22,0.54,0.22,18.9,75.0,181.0,397.0,0.16796638,8,7,1,0,,,,0.7234167,0.0,0.0,0.0,28.754168
0.22,0.22,0.54,0.22,20.0,70.0,369.0,471.0,0.18931839,8,8,1,0,,,,1.32505,0.0,0.0,0.0,100.941666
0.22,0.22,0.22,0.22,21.0,64.0,541.0,520.0,0.20079434,8,9,1,0,,,,0.23455,0.0,0.0,0.0,223.16667
0.22,0.54,0.22,0.22,21.7,66.0,711.0,568.0,0.19835591,8,10,1,0,,,,0.24065,0.0,0.0,0.0,364.75
0.22,0.54,0.22,0.22,22.2,64.0,873.0,727.0,0.20062073,8,11,1,0,,,,0.246,0.0,0.0,0.0,489.54584
0.22,0.54,0.22,0.22,22.8,59.0,934.0,749.0,0.2019375,8,12,1,0,,,,0.77933335,0.0,0.0,0.0,580.35
0.22,0.54,0.22,0.22,22.2,61.0,936.0,759.0,0.2033238,8,13,1,0,,,,0.9228,0.0,0.0,0.0,632.5
0.22,0.54,0.22,0.22,22.2,59.0,896.0,812.0,0.20633447,8,14,1,0,,,,1.8790166,0.0,0.0,0.0,644.86664
0.22,0.22,0.22,0.22,21.7,63.0,779.0,771.0,0.2078082,8,15,1,0,,,,0.89056665,0.0,0.0,0.0,612.35834
0.54,0.22,0.22,0.54,21.7,66.0,621.0,692.0,0.20482904,8,16,1,0,,,,2.5402834,0.0,0.0,0.0,534.9625
0.54,0.22,0.22,0.54,20.6,68.0,417.0,549.0,0.2072389,8,17,1,0,,,,2.5602,0.0,0.0,0.0,410.73334
0.54,0.22,0.22,0.54,20.0,70.0,186.0,214.0,0.20766042,8,18,1,0,,,,2.4899666,0.0,0.0,0.0,241.49167
0.54,0.22,0.22,0.54,19.4,73.0,14.0,79.0,0.20728707,8,19,1,0,,,,1.0331,0.0,0.0,0.0,11.716666
0.54,0.22,0.22,0.54,18.3,81.0,0.0,0.0,0.20591335,8,20,1,0,,,,1.3271166,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,18.9,78.0,0.0,0.0,0.19358204,8,21,1,0,,,,1.50865,0.0,0.0,0.0,0.0
